Number of lines,encode_with_mock without test
1~100,0.00012017
1~1000,0.00021333
1~2000,0.00029663
1~3000,0.00038467
1~4000,0.00048337
1~5000,0.00057804
1~6000,0.00065617
1~7000,0.00073971
1~8000,0.00082267
1~9000,0.00090246
1~10000,0.00097837
